permit,city,state,zip,species,sex,antlers,date,lng,lat,basis,details,permitted
B937E9-16,NASELLE,WA,98638,ELK,F,0,07/01/2016 0:00,-123.8597705,46.43012509,General area map reading,"Elk was struck by car approx. mp 2 hwy 401 out of Naselle, WA.",07/01/2016 10:08
D4AF6F-16,SEQUIM,WA,98382,DEER,F,0,07/01/2016 16:00,-123.1473972,48.07565851,Very accurate map reading,"Edge of eastbound HWY 101, 100 yards east of Dungeness river bridge.",07/01/2016 16:09
253769-16,ABERDEEN,WA,98520,DEER,F,0,07/03/2016 8:00,-123.8183403,47.00544351,General area map reading,,07/03/2016 12:22
D9EA32-16,OLYMPIA,WA,98512,DEER,F,0,07/04/2016 12:30,-122.851689,47.0250476,General area map reading,Southbound I5 just before exit 105 on the right side of the road.,07/04/2016 13:30
E9A6FD-16,OLYMPIA,WA,98501,DEER,F,0,07/04/2016 14:00,-122.884648,47.0250476,General area map reading,This young doe was hit on Pacific and was dead beside the sidewalk recently noticed by the Olympia Food Co-op employees.  An employee notified me and I picked her up.,07/04/2016 20:55
AAD00E-16,ABERDEEN,WA,98520,DEER,M,1,07/03/2016 15:00,-123.7266685,46.97069441,General area map reading,Milepost marker 4.4 Highyway 12 Westbound side,07/05/2016 11:02
C083B8-16,CHENEY,WA,99004,DEER,M,0,07/05/2016 9:00,-117.3998403,47.57141028,General area map reading,after the deer crossing sign before the the reduce speed to 55 sign,07/05/2016 12:25
2EDA3D-16,ROCHESTER,WA,98579,DEER,F,0,07/06/2016 10:00,-122.9921699,46.83228241,Very accurate map reading,Case Road just north of Scatter Creek,07/06/2016 10:19
9CC876-16,ELMA,WA,98541,DEER,F,0,07/06/2016 12:00,-123.4434058,47.16009054,Very accurate site GPS reading,South Ford Loop Road in Field of 1810 Ford Loop Road,07/06/2016 12:17
C36C86-16,KETTLE FALLS,WA,99141,DEER,M,4,07/06/2016 13:30,-118.1272588,48.69882889,General area map reading,,07/06/2016 15:20
346EAC-16,NASELLE,WA,98638,DEER,F,0,07/06/2016 16:00,-123.7783064,46.36649332,Very accurate map reading,,07/07/2016 2:44
7BAE96-16,MOSES LAKE,WA,98837,DEER,F,0,07/07/2016 1:00,-117.4683883,47.69481794,General area GPS reading,The Deer was hit on Addy-Griffith road,07/07/2016 5:54
BF4727-16,MILL CREEK,WA,98028,DEER,M,3,07/07/2016 20:30,-121.9872453,47.72791014,General area map reading,test,07/07/2016 20:29
5EBB96-16,GIG HARBOR,WA,98329,DEER,F,0,07/07/2016 2:30,-119.356651,47.63685461,General area map reading,,07/08/2016 0:54
74B57F-16,BELFAIR,WA,98528,DEER,F,0,07/08/2016 9:00,-122.9991891,47.4367118,General area map reading,power line pole yellow tag# 22252,07/08/2016 13:40
6748F3-16,STANWOOD,WA,98292,DEER,M,3,07/08/2016 15:00,-122.226155,48.27398991,Very accurate map reading,,07/08/2016 18:08
A7AAE9-16,BRINNON,WA,98320,ELK,F,0,07/08/2016 6:00,-122.8994225,47.68906497,General area map reading,"On HWY 101, Guardrail damage just before the bridge heading north into Brinnon, just past the Dosewallips state park.",07/09/2016 11:33
97BB7D-16,EVERSON ,WA,98247,DEER,M,3,07/08/2016 22:00,-122.2702505,48.84354411,General area map reading,hit and recovered at 4004 Mt. Baker Hwy,07/09/2016 17:24
1B655D-16,CLINTON,WA,98236,DEER,UKN,0,07/09/2016 9:30,-122.5017144,48.00748151,Very accurate map reading,,07/09/2016 22:31
